index,dateTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVol,takerBuyQuoteVol,ignore
0,2022-05-24 20:00:00,1962.85000000,1965.78000000,1951.53000000,1959.03000000,6316.29460000,1653424199999,12375120.81306000,8990,3046.28710000,5968724.31540000,0
1,2022-05-24 20:30:00,1959.02000000,1973.48000000,1956.80000000,1970.31000000,6200.51590000,1653425999999,12189404.07773600,8637,3236.89310000,6361719.55114500,0
2,2022-05-24 21:00:00,1970.31000000,1979.99000000,1969.13000000,1974.44000000,5567.82050000,1653427799999,10988330.31156700,8480,2740.58240000,5408108.49365200,0
3,2022-05-24 21:30:00,1974.44000000,1986.55000000,1970.00000000,1983.57000000,5123.12610000,1653429599999,10133911.89253200,8886,2822.82660000,5583729.48794300,0
4,2022-05-24 22:00:00,1983.56000000,1987.87000000,1981.10000000,1982.51000000,18479.89710000,1653431399999,36682083.11747400,13348,9411.74950000,18683231.74752200,0
5,2022-05-24 22:30:00,1982.51000000,1983.70000000,1979.00000000,1982.88000000,4547.53900000,1653433199999,9009136.22111000,5606,2403.85380000,4762054.12367900,0
6,2022-05-24 23:00:00,1982.88000000,1990.00000000,1978.06000000,1979.41000000,18229.44400000,1653434999999,36225505.33458700,13790,11620.66180000,23100443.17385100,0
7,2022-05-24 23:30:00,1979.41000000,1981.96000000,1976.08000000,1979.41000000,5347.43470000,1653436799999,10580149.51489500,6172,2688.75750000,5319458.41140100,0
8,2022-05-25 00:00:00,1979.40000000,1986.77000000,1972.76000000,1976.57000000,9482.73300000,1653438599999,18762459.71979700,10626,4325.45080000,8556532.07413400,0
9,2022-05-25 00:30:00,1976.56000000,1979.68000000,1973.65000000,1974.95000000,4695.54090000,1653440399999,9281020.41181400,5614,2447.82290000,4838965.90010000,0
10,2022-05-25 01:00:00,1974.96000000,1980.56000000,1970.23000000,1971.14000000,4631.30450000,1653442199999,9144660.25147000,6076,2393.63650000,4726356.12088000,0
11,2022-05-25 01:30:00,1971.15000000,1987.50000000,1971.14000000,1986.33000000,6814.95650000,1653443999999,13484876.10854700,7374,4005.38690000,7925670.72227800,0
12,2022-05-25 02:00:00,1986.32000000,2004.57000000,1979.99000000,2000.36000000,18249.48330000,1653445799999,36374607.72412200,18995,10580.22100000,21087433.29951900,0
